"Titel"	"Kommentar"
"Theatrhythm Final Fantasy: Curtain Call"	""
"TheHunter"	""
"Thief 4"	""
"Time Ramesside"	""
"Tiny and Big: Grandpa's Leftovers"	""
"Tiny Tower"	""
"TITAN ATTACKS"	""
"Tom Clancy's Ghost Recon Advanced Warfighter"	""
"TOME: Immortal Arena"	""
"Top Eleven"	""
"Total War Battles: Kingdom"	""
"Total War: Shogun"	""
"TowerFall Ascension"	""
"Township"	""
"Townsmen"	""
"TrackMania 2"	""
"Trackmania Nations Forever"	""
"Traffic Racer"	""
"Train Simulator 2015"	""
"TransOcean: The Shipping Company"	""
"TRI: Of Friendship and Madness"	""
"Trials: Frontier"	""
"Trove"	""
"Turbo Dismount"	""
"Uncharted 3"	"Uncharted 3: Drake's Deception"
"Und mehr"	"?"
"Underworld Empire"	"?"
"Uniwar"	"?"
"Unturned"	"?"
"Vainglory"	"?"
"Vampire the Masquerade: Bloodlines"	"Vampire: The Masquerade - Bloodlines"
"Vector Thrust"	"?"
"Vindictus"	"?"
"Volo Airsport"	"?"
"WAKFU"	"?"
"War in the Pacific"	"?"
"Warlock: Master of Arcane"	"Warlock: Master of the Arcane"
"Warmachine: Tactics"	"?"
"Wimmelbildspiele (Big Fish)"	"?"
"Wings of Vi"	"Battle of Britain II: Wings of Victory"
"Wizard's Choice"	"?"
"World Cruise Story"	"?"
"World War II Online"	"?"
"Worms: Reloaded"	"Worms Reloaded"
"WRC 4 FIA World Rally Championship"	"WRC: FIA World Rally Championship"
"WWE 2k13"	"?"
"WWE Smackdown vs. Raw 2008"	""
"X-Plane 10"	"X-Plane 10: Global"
"X: Superbox"	"?"
"X3: Albion Prelude"	"X³: Albion Prelude"
"X3: Gold Edition"	"?"
"X3: Terran Conflict"	"X³: Terran Conflict"
"XCOM UFO Defense"	"X-COM: UFO Defense"
"XStoryPlayer 3.0"	"?"
"YGOPro DevPro"	"?"
"Zengrams"	"?"
"Zombie Roadkill"	"?"
"Zombies vs. Plants"	"?"
"Zug um Zug"	"?"
