"Wert"	"n"	"sum"
"Gunman Chronicles	1	8842
"Gunpoint	2	8844
"Guns of Icarus Online	3	8847
"Haegemonia: Legions of Iron	1	8848
"Half-Life	13	8861
"Half-Life 2	37	8898
"Half-Life: Source	1	8899
"Halfway	1	8900
"Halo - The Master Chief Collection	81	8981
"Halo 2	1	8982
"Halo 3	7	8989
"Halo 4	8	8997
"Halo 5: Guardians	1	8998
"Halo: Combat Evolved	32	9030
"Halo: Combat Evolved Anniversary	1	9031
"Halo: Reach	2	9033
"Halo: Spartan Assault	6	9039
"Hammerwatch	3	9042
"Happy Wars	1	9043
"Happy Wheels	2	9045
