"Titel"	"Anzahl"
"Planetside  2"	1
"Pokémon Feuerrot/Blattgrün"	1
"Pokémon Gelb"	1
"Pokémon Mystery Dungeon: Explorers of Sky"	1
"Pokémon Platin-Edition"	1
"Pokémon Smaragd"	1
"Pokémon: Schwarz/Weiß"	1
"Pool Nation"	1
"Powerstar Golf"	1
"Primal Carnage: Extinction"	1
"Prince of Persia: The Sands of Time"	1
"Prison Rape Simulator 2014"	1
"Pro Evolution Soccer 2013"	1
"Professor Layton und die Maske der Wunder"	1
"Professor Layton vs. Phoenix Wright: Ace Attorney"	1
"Project CARS"	1
"Prototype"	1
"Quake"	1
"Quake 4"	1
"Quake Live"	1
"Quantum Conundrum"	1
"Race The Sun"	1
"RaceRoom Racing Experience"	1
"Radiant Historia"	1
"Rage"	1
"Rage of Bahamut"	1
"Ragnarok Online (20 Tage kostenlos)"	1
"Ragnarok Online 2"	1
"Raiden III"	1
"Rail Nation"	1
"Rambo: The Video Game"	1
"Randal's Monday"	1
"Ravaged Zombie Apocalypse"	1
"Rayman Raving Rabbids"	1
"Real World Racing"	1
"Realms of the Haunting"	1
"Rebuild 2"	1
"Red Faction: Armageddon"	1
"Reflec Beat plus!"	1
"Reflex"	1
"Renegade Ops"	1
"ReRave"	1
"Resonance"	1
"rFactor"	1
"Rift"	1
"Roads of Rome 3"	1
"RockBand"	1
"RollerCoaster Tycoon"	1
"RollerCoaster Tycoon 3"	1
"Rules!"	1
"Running with Rifles"	1
"S.O.L : Stone of Life EX"	1
"S.T.A.L.K.E.R.: Clear Sky"	1
"S4 League"	1
"salt"	1
"Scarlet Blade"	1
"Secret of Evermore"	1
"Secret of Mana"	1
"Severance: Blade of Darkness"	1
"Shadow  Warrior"	1
"Shadow Hearts"	1
"Shadow Kings"	1
"Shadow Man"	1
"Shadow Warrior (2013)"	1
"Shakes and Fidget"	1
"Shantae"	1
"Shaun White Snowboarding"	1
"Sherlock Holmes and the Hound of Baskervilles"	1
"Shin Megami Tensei: Persona 4"	1
"ShootMania"	1
"Shovel Knight"	1
"Sid Meier's Civilization II"	1
"Sid Meier's Civilization IV: Colonization"	1
"Sideswiped"	1
"Sightline: The Chair"	1
"Sins of the Dark Age"	1
"Sir, you are being hunted"	1
"Skull Girls"	1
"Skylanders Giants"	1
"Slenderman"	1
"Smash Tennis"	1
"Smugglers 5"	1
"Sniper Elite: Nazi Zombie Army 2"	1
"Solitär"	1
"Sonic Adventure DX"	1
"Space Age: A Game of Space Adventure"	1
"Space Hulk: Ascension Edition"	1
"Space Run"	1
"SpaceChem"	1
"Speedrunners"	1
"Spirits"	1
"Splice"	1
"Spore"	1
"Star Conflict"	1
"Star Wars Jedi Knight: Jedi Academy"	1
"Star Wars: Battlefront II"	1
"Star Wars: Episode III – Die Rache der Sith"	1
"Star Wars: Force Collection"	1
"Star Wars: X-Wing"	1
"Starpoint Gemini 2"	1
"Steins;Gate"	1
"Stronghold"	1
"Stronghold Crusader"	1
"Stronghold Crusader 2"	1
"Sunless Sea"	1
"Sunset Overdrive"	1
"Super Mario World"	1
"Super Street Fighter IV"	1
"Supreme Commander 2"	1
"Survarium"	1
"SWAT 3"	1
"SWAT 4"	1
"Sword Art Online: Hollow Fragment"	1
"Sword of the Stars: The Pit"	1
"System Shock 2"	1
"Tactical Ops"	1
"Tales of Aravorn: Seasons Of The Wolf"	1
"Tales Of Hearts"	1
"Tales of Innocence R"	1
"Tales of Phantasia"	1
"Terranigma"	1
"Tetris"	1
"The Bard's Tale"	1
"The Battle for Wesnoth"	1
"The Blackwell Epiphany"	1
"The Blackwell Legacy"	1
"The Book of Unwritten Tales"	1
"The Bridge"	1
"The Chronicles of Riddick: Escape from Butcher Bay"	1
"The Curious Expedition"	1
"The Last Remnant"	1
"The Legend of Zelda: A Link to the Past"	1
"The Legend of Zelda: Twilight Princess"	1
"The Lost Vikings"	1
"The Masterplan"	1
"The Night of the Rabbit"	1
"The Sailor's Dream"	1
"The Samaritan Paradox"	1
"The Secret of Monkey Island"	1
"The Ship"	1
"The Simpsons: Springfield"	1
"The Thirty-Nine Steps"	1
"The Witcher Adventure Game"	1
"The Yawhg"	1
"Theatrhythm Final Fantasy: Curtain Call"	1
"TheHunter"	1
"Thief 4"	1
"Tiny and Big: Grandpa's Leftovers"	1
"Tiny Troopers"	1
"Titan Attacks!"	1
"Tom Clancy's Ghost Recon: Phantoms"	1
"Tomb Raider 2"	1
"Tony Hawk's Pro Skater HD"	1
"Torchlight"	1
"Toy Soldiers"	1
"TrackMania United"	1
"Traffic Racer"	1
"Transformers: Fall of Cybertron"	1
"Turbo Dismount"	1
"UFO: Extraterrestrials"	1
"Ultima Online"	1
"Ultimate NES Remix"	1
"Uncharted 3"	1
"Underrail"	1
"Unholy Heights"	1
"Universe Sandbox"	1
"Unturned"	1
"Vagrant Story"	1
"Vampire the Masquerade: Bloodlines"	1
"Vector Thrust"	1
"Velvet Assassin"	1
"Victim of Xen"	1
"Victoria II"	1
"Violett"	1
"Virtua Tennis 4"	1
"Viscera Cleanup Detail"	1
"WAKFU"	1
"War of the Roses"	1
"Wargame: Airland Battle"	1
"Warhammer 40,000: Dawn of War II"	1
"Warhammer 40,000: Space Marine"	1
"Warlock: Master of Arcane"	1
"WildStar"	1
"Wizard's Choice"	1
"Wizardry: Crusaders of the Dark Savant"	1
"Wolfenstein: Enemy Territory"	1
"World Cruise Story"	1
"World In Conflict"	1
"World of Warplanes"	1
"Worms: Revolution"	1
"WRC: Powerslide"	1
"WWE 2k14"	1
"WWE 2k15"	1
"X-COM: Terror from the Deep"	1
"X: Beyond The Frontier"	1
"XCOM UFO Defense"	1
"Ys Origin"	1
"Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel"	1
"Z"	1
"Zengrams"	1
"Zombie Driver HD"	1
